idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7385,2001-11-08 06:50:00,692135989616.0,21011685165.875,720808527613.25,720902526284.2281,723080753208.5734,733160422031.8215
7386,2001-11-08 07:00:00,721381513616.0,9869237534.8125,687897054018.203,685952690083.3828,683685989328.0132,680993541984.9661
7387,2001-11-08 07:10:00,630345819160.0,8505804435.625,710434216762.9404,712016736333.2498,711607787397.2135,720018080516.8237
7388,2001-11-08 07:20:00,746418583920.0,7195118557.875,654161617973.3724,651402642026.2603,644116770279.3533,629035133282.2678
7389,2001-11-08 07:30:00,738572367576.0,6439498953.6875,721432219779.1106,726282153067.9403,727624569390.5276,745662964315.8063
7390,2001-11-08 07:40:00,699344703256.0,17934146082.3125,734915054169.7429,731646442502.0505,741046679250.5444,750067014704.6045
7391,2001-11-08 07:50:00,797912275640.0,37055832160.5625,722531273858.3452,719765480892.0818,723265751464.092,718466389334.239
7392,2001-11-08 08:00:00,735861767608.0,69902757136.5625,805995713416.6067,807922965025.1802,814272374585.8573,830759200616.0115
7393,2001-11-08 08:10:00,746022121336.0,108328684703.375,789419346682.5535,784646375368.3453,785204547850.8232,774287695174.7949
7394,2001-11-08 08:20:00,766713329816.0,160674803337.4375,817823951313.948,819159037814.5155,810217018845.736,798368239970.0576
7395,2001-11-08 08:30:00,776058694616.0,212737600594.75,844761548294.8544,846272619000.0732,833694955170.3043,818776127073.3333
7396,2001-11-08 08:40:00,929907121480.0,268738511315.875,865980151664.2842,868046067518.2024,852414545606.46,832059605337.096
7397,2001-11-08 08:50:00,1012986601656.0,320496737061.25,971314059412.101,976601955702.4197,974035215541.9329,981665347225.3988
7398,2001-11-08 09:00:00,1011182871792.0,355836206660.625,1029390901006.9607,1028170646340.4604,1038973253498.0665,1048326071255.376
7399,2001-11-08 09:10:00,1158074631752.0,391971705792.3125,1046474339183.9408,1043836882092.5016,1050721675810.55,1047318370923.6743
7400,2001-11-08 09:20:00,1115275583360.0,433679465196.5625,1156925857281.62,1158445188279.857,1176450651064.1763,1199782391156.2478
7401,2001-11-08 09:30:00,982735296232.0,460134424998.875,1138290529126.5884,1131473249958.6548,1146620226597.4485,1141730543162.3193
7402,2001-11-08 09:40:00,1120171620024.0,483732453321.625,1058014604646.95,1055391801189.5505,1044354115701.9506,1006333324554.7441
7403,2001-11-08 09:50:00,1135322935704.0,491071024368.375,1122563280860.865,1130164748435.5625,1125541671459.5884,1127510191070.775
7404,2001-11-08 10:00:00,1108077940048.0,495170872873.375,1134761334202.2769,1133800042436.92,1139519149903.3408,1139422784208.9868
7405,2001-11-08 10:10:00,1300563234024.0,493497298394.6875,1114977621830.7788,1114334791950.3655,1115126319246.8818,1106404365569.3203
